# TypeTokenRatio, GuiraudsIndex, Yule's_K, HapaxLegonema, AdvancedGuiraud, Avaliacao
1.21739,4.34659,127.55102,23.00000,1.70084,688.00000
1.47619,7.54342,144.38085,84.00000,2.78388,812.00000
1.00000,4.12311,0.00000,17.00000,1.94029,500.00000
1.04545,4.58732,37.80718,22.00000,2.08514,688.00000
1.31250,4.93771,158.73016,32.00000,1.69734,688.00000
1.21667,7.02247,75.06099,60.00000,3.16011,875.00000
1.21154,6.55138,70.54674,52.00000,2.26779,688.00000
1.13793,5.04825,91.82736,29.00000,4.17786,188.00000
1.66667,2.68328,750.00000,12.00000,0.67082,375.00000
1.36364,7.51443,74.37642,77.00000,3.90360,562.00000
1.23404,6.17140,83.23424,47.00000,2.75744,562.00000
1.10870,6.44129,38.44675,46.00000,4.48090,312.00000
1.50000,2.00000,987.65432,6.00000,1.00000,62.00000
1.25532,6.11888,80.43666,47.00000,2.47359,500.00000
1.34848,6.99599,93.42255,66.00000,3.81599,875.00000
1.00000,3.74166,0.00000,14.00000,1.87083,500.00000
1.18182,5.28423,118.34320,33.00000,2.56205,625.00000
1.27027,5.39700,162.96967,37.00000,1.45865,625.00000
1.11111,4.92950,66.66667,27.00000,3.65148,438.00000
1.09677,5.31646,69.20415,31.00000,4.28746,312.00000
1.24138,6.83537,61.72840,58.00000,3.53553,562.00000
1.10000,4.26401,82.64463,20.00000,3.19801,562.00000
1.29630,7.90479,61.67800,81.00000,4.39155,438.00000
1.18367,6.43402,71.34364,49.00000,3.02005,562.00000
1.12000,4.72456,102.04082,25.00000,2.26779,500.00000
1.45783,7.54545,114.74626,83.00000,5.45455,375.00000
1.16279,6.08112,72.00000,43.00000,1.97990,938.00000
1.09302,6.27219,45.26935,43.00000,2.91730,500.00000
1.07353,7.95880,18.76525,68.00000,3.62828,688.00000
1.14286,5.53399,62.50000,35.00000,1.73925,500.00000
1.42169,7.64077,83.30939,83.00000,2.85378,625.00000
1.54545,3.77297,311.41869,22.00000,1.71499,438.00000
1.06250,5.48795,34.60208,32.00000,4.63046,0.00000
1.31765,8.03175,76.53061,85.00000,4.25210,562.00000
1.30000,4.80384,170.94017,30.00000,2.40192,500.00000
1.66667,6.29285,171.90083,66.00000,3.33712,625.00000
1.66667,6.29285,171.90083,66.00000,3.33712,562.00000
1.24138,4.83333,123.45679,29.00000,2.50000,500.00000
1.14286,4.94975,97.65625,28.00000,2.47487,500.00000
1.73913,5.14296,196.87500,46.00000,2.12426,500.00000
1.18605,6.02120,107.65090,43.00000,3.36067,438.00000
2.00000,3.87298,472.22222,30.00000,1.67829,312.00000
1.08824,5.58957,43.82761,34.00000,2.79478,375.00000
1.21569,6.47701,72.84079,51.00000,3.17500,500.00000
1.31818,4.08530,166.46849,22.00000,3.71391,375.00000
1.14815,4.84934,145.68158,27.00000,2.69408,562.00000
1.32500,5.49442,113.91954,40.00000,2.33513,438.00000
1.24324,7.71503,63.79962,74.00000,3.85752,438.00000
1.14286,5.53399,62.50000,35.00000,3.16228,625.00000
1.51923,5.85046,208.29995,52.00000,4.27533,500.00000
1.00000,5.29150,0.00000,28.00000,2.26779,562.00000
1.67532,6.77947,180.27763,77.00000,4.49030,562.00000
1.34615,7.61202,74.37642,78.00000,4.87950,562.00000
1.71429,6.06218,137.17421,63.00000,3.56033,312.00000
1.35000,5.44331,144.03292,40.00000,2.99382,438.00000
1.25000,6.19677,127.77778,48.00000,3.22749,562.00000
1.31507,7.45053,75.95486,73.00000,3.57217,562.00000
1.57143,6.33174,204.06081,63.00000,3.61814,500.00000
