# gunningFog,flesch_readindEase,flesch_kincaid,dale_chall,automated_readabilityIndex, simple_gobbledygook, lix, word_variationIndex, nominal_ratio, avaliacao
31.20000,29.73714,16.22286,12.92030,34.87000,21.00450,78.00000,58.09657,0.76190,688.00000
27.73490,51.69572,9.54205,13.36401,34.66968,14.42000,69.33724,62.03803,0.49286,812.00000
25.62353,68.55529,8.30824,11.91029,38.89176,15.92008,64.05882,0.00000,0.47619,500.00000
22.19710,61.50493,7.36870,11.56851,38.57333,10.85629,55.49275,222.73244,0.62500,688.00000
26.55238,65.72571,8.08762,12.60185,27.56000,15.25087,66.38095,53.22042,1.33333,688.00000
51.66575,-6.74192,30.93205,16.12566,59.63233,35.86111,129.16438,95.99282,0.70769,875.00000
23.24762,77.93714,5.58952,11.67635,16.23587,12.63246,58.11905,91.51070,0.73810,688.00000
47.13939,52.04364,14.04970,18.67088,25.04727,29.65213,117.84848,96.35421,1.14286,188.00000
30.00000,72.00000,8.44000,13.31300,30.66000,18.63650,75.00000,19.02702,0.61905,375.00000
68.28571,-46.40000,43.37333,19.22079,72.72571,46.49881,170.71429,72.13592,1.04706,562.00000
28.55862,78.09241,6.40621,13.33967,27.22483,16.16390,71.39655,80.41331,1.17500,562.00000
33.88392,57.27435,8.51122,15.90752,18.85271,15.52202,84.70980,151.77927,0.72727,312.00000
30.26667,32.64000,11.81778,14.60957,18.20444,13.81554,75.66667,12.97443,1.20000,62.00000
24.73288,75.86400,4.92400,12.76083,22.35871,10.31436,61.83220,75.13842,1.07143,500.00000
35.41685,43.48921,13.03022,15.20763,37.59899,21.55589,88.54213,69.60848,0.86585,875.00000
21.86667,82.28952,3.73714,11.76297,27.39619,8.72577,54.66667,0.00000,1.62500,500.00000
27.76410,64.78769,8.01333,13.18848,29.36103,15.25087,69.41026,82.16151,1.18519,625.00000
26.42128,49.90043,12.36638,11.52125,27.14000,17.77721,66.05319,63.86977,0.78788,625.00000
34.66667,45.20000,10.21333,16.23817,25.95333,15.58907,86.66667,111.48777,4.33333,438.00000
46.54118,21.22824,18.71059,18.32643,32.43647,29.65213,116.35294,136.37474,2.36364,312.00000
29.80000,47.52000,10.29778,14.10045,27.57444,15.42090,74.50000,86.70872,1.46154,562.00000
39.70909,72.21091,8.82909,16.92906,16.02545,23.13134,99.27273,101.78453,1.14286,562.00000
34.68571,46.44571,12.34095,15.05439,32.21714,20.85500,86.71429,85.76803,1.05128,438.00000
30.49195,46.99678,11.91172,13.57940,25.94115,18.63650,76.22989,99.79212,1.27586,562.00000
32.62857,50.30857,13.25143,13.48423,41.11286,21.73658,81.57143,99.63366,1.13636,500.00000
56.59669,59.54281,18.73537,19.42590,28.25140,39.19616,141.49174,63.38268,1.51429,375.00000
21.60000,29.84000,12.43200,11.08010,29.66400,11.86613,54.00000,103.41318,1.51724,938.00000
27.54326,71.83433,7.55489,12.81250,24.28057,16.24436,68.85816,168.57379,1.06061,500.00000
24.59269,31.86721,12.59370,12.02682,30.91224,13.81554,61.48174,261.58393,0.94340,688.00000
28.00000,64.80000,9.48000,12.52350,27.32500,17.77721,70.00000,103.74087,1.26087,500.00000
31.81288,56.84583,11.38414,13.63875,29.95180,20.39993,79.53220,67.04320,1.09877,625.00000
32.68235,45.26118,11.67294,14.69676,23.87412,18.63650,81.70588,30.29480,2.08333,438.00000
48.89412,78.40471,10.45176,19.25525,14.98353,30.68923,122.23529,206.87646,1.75000,0.00000
28.91429,56.32286,8.18714,14.18401,26.93250,12.80817,72.28571,83.04898,0.68367,562.00000
27.73538,55.42646,8.27467,13.74030,23.65251,12.38229,69.33846,52.96734,0.86207,500.00000
33.48485,82.93939,4.58727,15.86189,28.52788,14.72902,83.71212,45.56240,0.51938,625.00000
33.48485,82.93939,4.58727,15.86189,28.52788,14.72902,83.71212,45.56240,0.51938,562.00000
26.84444,63.76000,6.69333,13.58354,26.21222,10.85629,67.11111,61.16481,0.96000,500.00000
35.30000,39.72000,15.62000,14.10557,31.31125,23.79809,88.25000,91.67327,1.04762,500.00000
58.50000,-38.10000,36.93000,18.06538,60.45250,40.76149,146.25000,36.84704,0.96825,500.00000
35.29804,27.24471,16.05843,14.80875,33.70235,22.44480,88.24510,92.55540,0.76087,438.00000
35.33333,40.00000,12.01333,15.95983,23.70667,18.63650,88.33333,26.17868,1.05714,312.00000
36.42162,37.68216,16.96324,14.00684,35.56649,25.07846,91.05405,155.99824,1.08000,375.00000
25.70581,45.35845,9.39329,13.11241,32.43768,10.75979,64.26452,89.25952,1.06000,500.00000
48.84138,44.39172,14.31586,19.77593,28.60828,29.11974,122.10345,42.70602,1.80000,375.00000
30.71613,33.36387,13.07677,14.08304,32.67161,17.33159,76.79032,87.06394,1.00000,562.00000
43.84151,22.80453,22.46868,15.20304,45.24075,30.68923,109.60377,57.97713,0.88095,438.00000
33.11304,56.51478,11.30609,14.21697,34.82000,20.81746,82.78261,96.15391,0.63441,438.00000
41.00000,0.80000,22.92000,15.48925,44.17500,28.02462,102.50000,103.74087,0.71875,625.00000
64.51139,-7.45114,32.29316,20.54667,44.28152,45.13290,161.27848,47.80397,0.74286,500.00000
28.34286,40.02286,14.73714,11.79244,40.62000,19.45788,70.85714,0.00000,0.76923,562.00000
83.53798,-48.81116,48.75628,22.64242,69.78016,56.79788,208.84496,48.15931,1.38356,562.00000
72.09524,-67.65714,46.44381,20.72460,70.31619,49.74976,180.23810,75.16836,1.22581,562.00000
74.31111,-18.32000,39.94667,21.27441,62.74407,51.29804,185.77778,42.97109,0.58511,312.00000
33.86667,45.94667,11.78370,15.05597,29.14963,19.45788,84.66667,54.99188,1.00000,438.00000
48.66667,8.80000,25.96000,16.34967,45.73000,34.07138,121.66667,77.15406,1.30769,562.00000
30.92333,59.26600,8.09767,14.80381,22.84483,14.37060,77.30833,78.32474,2.43750,562.00000
34.74805,65.10961,8.20658,15.82162,30.22488,18.02690,86.87013,48.97806,0.91892,500.00000
22.00000,67.20000,5.98667,11.77950,25.90000,9.01965,55.00000,105.18284,0.80392,625.00000
31.07175,66.61029,7.66616,14.53749,27.82019,16.11543,77.67937,56.62796,0.62500,562.00000
30.17582,72.34286,6.14286,14.54276,25.13187,13.97638,75.43956,59.53741,0.60870,562.00000
76.56000,-57.21600,49.13120,20.32106,69.11360,50.99215,191.40000,64.72293,1.70909,562.00000
44.40000,7.93705,26.29443,14.55710,42.65967,30.94308,111.00000,75.55265,0.71622,562.00000
39.14286,55.88571,13.91429,15.29764,35.35429,26.29656,97.85714,83.76603,0.80769,438.00000
40.42963,32.58667,15.60148,16.67200,37.36889,25.07846,101.07407,22.36729,1.10000,500.00000
31.61463,37.85073,13.47756,13.89623,33.00049,19.45788,79.03659,37.98750,0.80556,438.00000
49.20000,-26.72000,34.23733,14.93570,58.20267,33.60906,123.00000,132.40972,1.00000,750.00000
44.54286,19.90286,23.51714,15.15499,43.90429,31.19486,111.35714,84.36885,1.35135,562.00000
39.82564,59.15663,12.46286,16.07257,29.89392,25.69473,99.56410,89.12124,1.15789,375.00000
27.82378,78.64519,4.52711,13.97847,21.91524,11.00311,69.55944,77.78939,0.46914,500.00000
27.81645,43.20104,10.00623,13.79003,25.96476,12.29006,69.54113,83.60225,1.16981,500.00000
37.06413,31.22057,15.42121,15.53840,37.34356,23.13134,92.66032,79.41361,0.68644,438.00000
21.43043,54.10696,8.03522,11.47344,33.33000,9.44334,53.57609,53.01031,1.05000,438.00000
62.33407,6.34901,32.81714,18.38757,55.82901,43.00278,155.83516,49.17876,0.80882,562.00000
32.66667,28.00000,13.74667,14.90717,36.58667,17.77721,81.66667,34.20081,0.35000,438.00000
33.21407,25.09398,14.83771,14.77669,35.62558,19.29640,83.03516,68.69075,0.58333,562.00000
32.77742,76.26258,5.25452,15.73606,13.97774,13.52947,81.94355,117.56593,1.05263,312.00000
33.06667,70.42667,7.96800,14.88457,19.07333,18.63650,82.66667,147.20028,1.24138,312.00000
26.12517,51.78884,10.59020,12.18051,30.46422,15.92008,65.31293,76.56332,2.00000,438.00000
33.99647,60.90816,8.75352,15.55588,26.50127,17.65104,84.99116,63.70363,1.09859,688.00000
34.56593,36.20267,13.94637,14.94212,30.77622,21.00450,86.41481,89.55144,0.95588,812.00000
43.36774,49.76000,13.96000,17.39862,24.72710,27.46068,108.41935,63.90858,2.04255,375.00000
37.76260,49.18309,13.27415,15.58309,35.61447,24.01623,94.40650,61.16915,0.83333,625.00000
42.57143,21.94286,18.81714,16.65107,43.24000,28.02462,106.42857,59.09736,1.16667,625.00000
41.80952,26.40000,18.17333,16.35031,34.04000,27.64994,104.52381,153.67246,1.45833,500.00000
34.76552,53.26483,9.99241,15.78984,23.41793,18.21192,86.91379,66.97607,1.37500,375.00000
39.00000,43.20000,12.60000,16.86575,23.18500,22.09353,97.50000,72.56592,0.92593,250.00000
24.04444,69.44000,6.50222,12.15334,25.25778,12.12696,60.11111,48.59926,0.55102,562.00000
43.76923,45.98462,14.82000,17.39465,36.90308,28.02462,109.42308,44.22777,0.71930,562.00000
59.06667,0.42667,31.57481,18.18077,58.23259,41.14352,147.66667,35.00533,0.50000,438.00000
26.55238,50.29714,10.31619,12.60185,34.13143,15.25087,66.38095,59.77794,0.86486,562.00000
45.78182,29.69455,19.58545,16.94367,36.57818,31.19486,114.45455,64.45002,1.28571,562.00000
30.61099,26.10374,13.21143,14.51342,40.10286,15.20194,76.52747,56.47844,0.67901,500.00000
47.38065,15.19742,25.45548,15.62541,43.18968,33.14029,118.45161,59.10367,0.49153,625.00000
29.87879,49.84242,11.29091,13.44565,31.22303,18.06818,74.69697,73.95144,0.82222,500.00000
50.20870,-6.45565,30.05159,15.98368,50.29333,34.97769,125.52174,38.19061,0.91667,562.00000
50.20870,-6.45565,30.05159,15.98368,50.36000,34.97769,125.52174,39.98923,0.93750,562.00000
39.24444,61.38667,11.44148,16.20414,27.24889,24.57432,98.11111,37.48647,0.58333,562.00000
36.42162,20.16865,19.49297,14.00684,47.00432,25.07846,91.05405,63.96039,0.90909,562.00000
33.18095,48.44381,11.56286,14.71308,35.52762,19.45788,82.95238,94.48171,1.06383,500.00000
43.48085,14.73702,22.37532,15.71047,34.15234,30.17514,108.70213,52.18519,1.04545,438.00000
30.40000,36.96000,14.76000,12.82110,41.86308,20.24597,76.00000,84.11144,0.68627,438.00000
24.32222,76.54000,4.69000,12.66912,27.79889,9.71553,60.80556,70.35438,0.64062,562.00000
84.12394,-53.51099,52.16225,21.46583,72.89831,55.12041,210.30986,55.01073,0.98684,562.00000
33.76667,33.04000,14.90667,14.36669,32.63083,21.37368,84.41667,138.16361,1.18182,562.00000
28.51429,31.52000,11.56000,14.13441,27.24000,11.99725,71.28571,71.65599,1.72973,812.00000
32.70000,40.38000,10.49000,15.67843,21.29750,13.70183,81.75000,88.22581,1.85294,562.00000
26.51550,56.63416,7.87246,13.37634,34.53301,11.32648,66.28875,47.68122,0.94000,562.00000
81.51712,-5.54811,38.73117,23.79408,59.00937,56.79788,203.79279,57.02416,1.34000,438.00000
34.74118,60.61412,9.45529,15.50948,29.52265,19.35711,86.85294,52.50576,0.83333,562.00000
49.41961,36.01882,20.14039,17.62159,36.98510,34.07138,123.54902,81.57296,1.09677,500.00000
36.10254,54.04890,9.81623,16.35012,23.56631,18.46784,90.25634,91.96219,0.93478,375.00000
64.29677,-18.59097,36.83914,18.94575,68.45333,44.43421,160.74194,74.55643,0.67816,500.00000
31.34979,52.49055,11.00630,13.97579,32.36349,18.80365,78.37447,60.61202,0.89189,438.00000
33.11304,46.34087,12.77565,14.21697,35.02000,20.81746,82.78261,50.06137,0.84000,438.00000
42.00000,4.00000,20.36000,16.96700,38.89333,26.59237,105.00000,161.14609,0.68966,562.00000
53.85753,7.06630,28.93753,16.99086,52.51178,37.56566,134.64384,38.46550,1.04000,562.00000
30.59707,57.66712,8.03493,14.82663,35.89093,13.35489,76.49268,65.37155,1.00000,562.00000
31.54716,83.80040,4.23315,15.21560,20.43284,13.48811,78.86789,46.32640,0.96104,500.00000
38.15686,47.45098,13.73412,15.63042,38.14196,24.44666,95.39216,56.24962,0.69048,688.00000
36.74286,-4.22531,25.53388,12.83404,41.64571,25.69473,91.85714,142.66151,0.48780,562.00000
30.27778,59.10000,8.46778,14.37028,27.67889,15.16514,75.69444,59.54261,1.02857,562.00000
26.85714,48.65143,9.11543,13.46479,28.59086,11.71448,67.14286,57.69874,0.68085,750.00000
69.04762,-36.80000,41.98667,19.52155,72.98857,47.16693,172.61905,55.71311,1.31081,562.00000
26.55170,66.72260,6.18812,13.50788,26.80126,10.49637,66.37924,55.54122,0.57273,750.00000
33.57946,42.79798,13.04766,14.52486,33.78316,20.68282,83.94865,77.11497,0.96694,562.00000
29.12727,32.59636,12.24364,13.94319,30.67273,14.69357,72.81818,67.22782,1.41667,562.00000
50.63396,11.93660,24.03849,17.88436,45.28415,34.97769,126.58491,52.95208,0.93506,562.00000
31.46667,87.52000,4.52000,14.75837,18.34250,15.92008,78.66667,54.00539,0.80000,562.00000
33.34610,63.89589,7.05830,15.95152,27.83177,13.72085,83.36525,58.19522,0.54000,562.00000
44.64615,19.61231,22.72000,15.62897,41.18385,31.19486,111.61538,84.11144,1.25000,562.00000
38.20435,47.36435,11.42159,16.84949,27.92333,20.62872,95.51087,65.47358,0.54237,562.00000
34.17143,55.86857,9.51143,15.60947,39.88143,17.77721,85.42857,38.65103,0.77778,625.00000
54.66250,6.44000,27.14000,18.28332,50.45844,38.18526,136.65625,58.28373,0.46512,688.00000
43.48571,65.22286,11.09714,17.77009,32.24143,26.65114,108.71429,34.23893,0.58678,562.00000
34.15495,48.05429,12.47571,14.65534,33.63418,21.18989,85.38736,68.69075,0.78750,625.00000
53.69231,18.83077,25.56000,17.79204,42.49846,37.56566,134.23077,182.00219,1.22222,438.00000
35.90736,63.55558,8.84686,16.06459,19.61593,19.35711,89.76841,55.95321,1.53226,438.00000
32.75556,42.28000,12.31333,14.61736,29.38389,19.05162,81.88889,80.41009,1.19565,625.00000
28.91765,43.14353,11.97882,13.21064,26.60706,17.24109,72.29412,85.14563,0.90909,562.00000
33.21404,41.39789,12.65053,14.69004,28.75123,19.59143,83.03509,65.67493,0.67021,750.00000
46.35556,59.25333,11.74963,19.01126,22.37630,27.46068,115.88889,93.86328,0.00000,312.00000
37.78039,54.43765,10.34745,16.70921,38.93686,20.37435,94.45098,49.74905,0.84043,438.00000
48.27742,21.25290,21.32925,17.65806,52.69226,32.90341,120.69355,67.85908,0.96296,562.00000
44.87018,93.54807,6.44632,18.60540,9.36509,26.29656,112.17544,67.33653,2.45455,0.00000
62.77363,-22.13451,36.93143,18.56109,54.05978,43.36507,156.93407,44.12747,1.12281,500.00000
20.44762,57.78857,7.03143,11.32915,27.54000,7.43499,51.11905,78.47782,0.81250,438.00000
34.73153,59.26559,11.25838,14.67537,31.56955,21.97519,86.82883,44.91396,0.77778,375.00000
39.39878,88.38857,2.89382,18.66433,7.97993,12.04731,98.49695,534.15527,1.90000,0.00000
66.07179,-0.04308,31.01333,21.27094,48.11231,46.16112,165.17949,106.27026,1.00000,188.00000
27.23692,51.79938,9.34400,13.26196,27.83369,13.81554,68.09231,61.46076,0.89189,688.00000
81.20000,-41.55750,47.49875,21.82780,73.04812,54.83584,203.00000,51.17147,0.75281,562.00000
23.92222,67.05222,5.70500,12.69473,31.58944,8.10611,59.80556,50.36941,0.96000,500.00000
33.11477,58.28135,8.98810,15.28260,26.84397,17.02804,82.78692,45.77681,0.73239,625.00000
30.51667,64.15667,7.61500,14.52775,24.27250,14.90500,76.29167,42.20536,0.96667,500.00000
102.05503,-134.36952,73.70138,23.45402,107.13989,62.56500,255.13757,94.15101,0.90972,562.00000
38.00000,14.74286,19.85714,14.84650,43.37143,25.69473,95.00000,58.40703,0.54054,438.00000
29.51631,48.57674,9.27106,14.43971,22.64454,12.83722,73.79078,46.55290,0.78788,875.00000
42.75556,63.28000,9.28000,18.56486,10.66444,22.44480,106.88889,34.66732,4.00000,62.00000
26.60519,61.55377,7.07195,13.45816,25.05435,11.02652,66.51299,79.96907,1.12281,688.00000
31.50159,49.36571,9.71651,14.93460,30.98508,15.07893,78.75397,83.28878,0.88235,562.00000
31.71971,73.86504,6.13004,15.04532,19.52885,15.00012,79.29928,74.76918,1.17742,562.00000
38.12632,75.50316,7.72421,16.62916,20.56000,21.37368,95.31579,78.80226,1.81250,312.00000
29.37778,63.84000,6.26222,14.80018,26.09889,9.48924,73.44444,87.65837,0.54054,500.00000
29.33333,53.73333,9.68000,13.77183,30.25667,15.92008,73.33333,267.13475,0.59375,500.00000
28.93333,40.48000,11.94400,13.43343,32.96800,16.49918,72.33333,74.65713,1.96875,688.00000
25.03660,61.50060,7.73294,12.50168,25.73174,12.63246,62.59149,110.45190,1.06061,312.00000
71.16216,2.14595,33.73892,21.71001,48.57351,49.74976,177.90541,58.85932,1.29630,250.00000
50.62951,7.93705,26.29443,17.01620,46.80721,35.42216,126.57377,62.28752,0.72632,625.00000
58.09593,19.79610,24.68634,19.90942,39.74618,40.18164,145.23984,85.21024,1.68085,312.00000
49.60000,34.32000,20.17600,17.80110,38.06400,34.07138,124.00000,41.60753,2.00000,562.00000
40.12148,43.53600,12.88711,17.13517,21.19289,23.13134,100.30370,103.71110,1.25532,375.00000
28.00000,41.90000,10.69000,13.60650,24.19000,13.81554,70.00000,65.22999,0.88000,625.00000
29.48874,61.42124,9.42262,13.39276,25.98933,17.60032,73.72184,61.07789,1.00000,562.00000
63.20000,-34.96000,40.67200,17.75470,68.29800,42.63741,158.00000,79.55714,1.23881,500.00000
27.84510,68.74000,7.39000,13.24753,30.34725,15.16514,69.61275,59.57130,1.07143,562.00000
37.38824,36.79059,12.89647,16.55441,39.70353,20.24597,93.47059,27.53343,0.72973,500.00000
30.93474,64.62232,6.90442,15.02491,25.77295,12.99870,77.33684,71.53280,1.11111,688.00000
32.13898,57.42169,12.53864,13.12851,32.35288,21.73658,80.34746,47.69075,0.70588,625.00000
31.59015,53.52079,8.65182,15.20937,33.05606,13.65281,78.97537,34.63234,0.72727,562.00000
29.81299,37.31740,10.72260,14.64708,26.39169,12.29006,74.53247,28.83522,1.26087,562.00000
29.42857,55.08571,8.48571,14.32514,31.91810,13.32138,73.57143,33.10659,0.69492,438.00000
37.96049,31.69778,15.72988,15.69730,35.09728,24.01623,94.90123,49.79215,0.98438,438.00000
