# coordinating_conjunction, numeral, determiner, existencial, subordinatingConjunction, adjective, comparativeAdjective, superlativeAdjective, ordinalAdjective_or_numeral, modalAuxiliary, singular_or_massCommun_noun, pluralCommonNoun, preposition, participle, predeterminer, genitiveMarker, personalPronoun, possessivePronoun, adverb, comparativeAdverb, superlativeAdverbs, preposition_or_infinitive, n_verb_baseForm, n_verb_pastTense, n_verb_gerund, n_verb_pastParticiple, n_verb_thirdPersonSingPresent, n_whDeterminer, n_whAdverb, whPronoun, avaliacao
3,2,5,0,2,4,0,0,2,0,9,0,7,0,0,2,3,3,6,0,0,4,2,3,4,0,1,0,0,1,688
23,1,26,1,15,16,0,0,1,4,41,2,25,2,1,6,49,3,29,0,0,20,11,32,7,2,5,0,6,13,812
3,0,5,0,1,3,0,0,0,0,5,0,3,2,0,0,8,1,4,0,0,2,1,4,1,2,1,0,0,1,500
2,1,6,0,9,5,0,0,1,3,11,0,4,0,0,1,6,1,6,0,0,4,2,7,0,0,0,0,1,4,688
7,0,10,1,1,1,0,0,0,1,22,0,14,0,0,2,4,3,5,0,0,12,3,8,3,0,0,0,3,1,688
5,1,19,1,10,12,0,0,1,3,25,1,20,1,0,3,18,2,19,6,0,12,5,10,3,1,2,0,3,11,875
6,0,17,0,0,7,0,0,1,2,22,2,6,2,0,1,11,2,7,1,0,7,4,5,0,2,5,0,1,3,688
3,0,3,0,0,5,0,0,0,0,12,1,4,0,0,1,1,2,3,0,0,3,1,5,1,0,0,0,0,0,188
5,0,1,0,0,0,0,0,0,0,7,0,6,0,0,0,7,0,7,1,0,3,0,4,3,0,0,0,0,0,375
12,5,36,0,4,3,0,0,5,0,56,24,30,3,2,12,33,13,13,0,0,14,4,14,0,3,20,0,1,1,562
7,0,18,2,1,6,0,0,0,3,30,1,15,2,0,5,12,8,10,0,0,8,1,12,0,2,2,0,4,1,562
9,0,6,0,3,8,1,0,0,0,16,1,4,3,1,2,10,3,7,1,0,4,2,10,2,3,0,0,2,2,312
0,0,4,0,1,1,0,0,0,0,5,0,1,0,0,1,2,0,0,0,0,1,1,0,0,0,2,0,0,2,62
7,2,19,2,5,5,0,0,2,4,30,9,13,2,0,7,12,5,7,1,0,7,4,13,0,2,1,0,0,3,500
10,0,29,5,11,1,0,0,1,8,44,10,23,4,3,8,18,9,17,6,0,20,12,15,1,4,3,0,2,8,875
1,0,4,0,1,2,0,0,0,0,7,1,5,1,0,2,0,1,4,0,0,1,0,2,0,1,0,0,0,1,500
4,2,11,0,3,5,0,0,2,1,20,3,12,0,0,5,4,0,9,0,0,3,1,8,1,0,3,0,0,3,625
8,2,11,1,4,5,0,0,2,1,17,5,8,1,0,2,11,0,5,0,0,7,5,11,1,1,0,0,1,2,625
9,1,5,1,0,0,0,0,1,0,7,1,6,0,0,5,1,6,2,0,0,1,0,0,0,0,0,0,0,4,438
9,1,6,0,7,6,0,0,1,0,16,3,10,0,0,6,2,0,0,0,0,6,3,3,1,0,0,0,0,5,312
13,2,19,0,2,6,0,0,3,0,34,9,20,3,0,11,7,4,8,0,0,10,5,18,2,3,1,0,3,1,562
1,0,2,0,0,4,0,0,0,0,5,2,3,0,0,3,4,0,1,0,0,1,1,0,0,0,2,0,0,0,562
21,1,25,4,5,10,0,0,1,5,50,8,27,5,0,10,19,9,16,2,0,16,6,26,5,5,0,0,2,5,438
12,0,13,5,3,5,0,0,0,5,25,4,9,3,0,2,3,9,6,0,0,8,4,10,0,3,2,0,2,2,562
6,1,16,1,0,1,0,0,1,2,17,3,6,1,3,1,5,8,6,1,0,5,1,6,0,1,1,0,1,0,500
14,0,27,0,2,6,0,0,0,1,25,6,25,3,2,9,6,5,6,0,0,11,4,5,1,3,4,0,0,1,375
5,0,18,1,3,2,0,0,1,2,28,12,14,2,1,4,6,5,5,0,0,12,3,8,5,2,0,0,2,1,938
4,4,8,0,4,5,1,0,4,0,21,3,13,1,0,5,12,0,6,0,0,6,5,8,1,1,0,0,1,4,500
9,1,23,1,9,6,0,0,1,2,30,12,18,1,1,7,9,2,15,0,0,12,5,9,2,1,0,0,3,5,688
5,0,15,0,1,2,2,0,0,0,19,6,8,2,1,3,3,0,5,2,0,5,3,7,1,2,1,0,1,1,500
23,4,27,1,5,9,1,0,4,1,55,3,32,2,0,6,19,9,19,1,0,21,8,28,2,2,0,0,3,3,625
1,2,16,0,0,1,0,0,2,0,16,1,9,0,2,3,3,2,1,1,0,5,0,4,0,0,1,0,0,0,438
3,0,4,0,0,0,0,0,0,0,4,0,3,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
14,1,23,2,8,14,0,0,1,7,47,14,16,4,0,2,25,9,21,2,0,21,15,19,2,4,3,0,2,6,562
5,1,8,0,5,0,0,0,1,0,16,4,7,2,0,4,6,1,6,0,0,7,5,9,0,2,2,0,1,0,500
9,0,23,1,9,8,1,0,0,5,42,12,23,1,4,5,41,10,30,3,0,23,12,38,0,1,6,0,10,5,625
9,0,23,1,9,8,1,0,0,5,42,12,23,1,4,5,41,10,30,3,0,23,12,38,0,1,6,0,10,5,562
4,0,15,0,3,2,0,0,0,2,18,10,5,0,4,4,7,5,3,0,0,6,5,7,0,0,0,0,0,1,500
7,1,13,3,1,0,0,0,1,3,17,3,4,1,0,3,9,0,2,0,0,2,1,5,0,1,0,0,1,2,500
8,3,25,0,10,5,1,0,3,2,40,10,18,3,0,8,19,2,12,2,0,17,9,13,3,3,3,0,2,3,500
5,0,10,0,5,5,0,0,0,2,21,1,14,0,0,5,20,0,5,0,0,7,2,8,1,0,4,0,0,7,438
5,5,21,2,0,5,0,0,5,2,27,6,9,1,0,2,7,8,6,0,0,3,0,17,0,1,10,0,0,3,312
12,0,10,0,0,4,0,0,0,0,18,0,9,0,0,3,11,0,2,0,0,3,1,10,2,0,1,0,0,2,375
8,0,17,0,8,4,1,0,0,3,33,6,18,2,2,4,15,2,10,1,0,13,7,15,1,2,1,0,4,4,500
7,0,5,0,1,3,0,0,2,0,15,3,8,2,0,4,8,0,1,0,0,3,1,3,0,2,0,0,0,2,375
5,0,11,2,3,2,0,0,1,2,15,2,9,2,0,5,3,4,6,0,0,4,4,7,0,2,1,0,1,1,562
7,1,18,3,2,4,0,0,1,3,22,0,14,1,2,6,19,5,4,0,0,4,1,11,3,1,1,0,3,1,438
8,1,21,4,15,7,0,0,1,5,38,2,20,1,0,5,35,4,19,0,0,11,4,18,3,1,10,0,4,9,438
0,0,14,2,1,6,0,0,0,2,16,4,5,2,1,1,5,4,9,3,0,4,2,3,1,2,7,0,2,0,625
4,1,12,0,2,1,0,0,1,0,16,1,9,1,0,1,8,0,9,4,0,8,0,5,2,1,7,0,0,1,500
3,0,6,1,6,2,0,0,0,1,13,2,7,0,0,4,10,2,4,0,0,3,3,7,1,0,2,0,1,5,562
21,0,22,0,1,22,0,0,4,0,51,2,44,3,0,22,30,0,8,0,0,12,0,25,2,3,2,0,1,2,562
20,2,31,1,7,6,0,0,2,1,46,28,26,2,2,9,10,1,8,1,0,12,8,21,3,2,8,0,2,3,562
3,2,20,2,6,7,0,0,2,4,33,2,19,0,0,2,36,0,13,1,0,19,7,21,1,0,17,0,3,8,312
9,0,22,3,3,7,0,0,0,3,23,2,12,2,3,1,12,7,7,0,0,8,2,10,0,2,0,0,2,1,438
9,8,12,1,1,1,0,0,8,0,6,3,10,1,0,4,2,5,5,0,0,5,0,0,0,1,1,0,3,1,562
4,3,15,0,0,4,0,0,4,0,17,9,21,0,0,4,3,8,4,0,0,12,0,4,0,0,2,0,0,5,562
19,3,18,1,0,4,0,0,3,1,12,2,21,1,0,6,7,6,21,6,0,12,1,1,0,1,4,0,0,6,500
8,1,14,3,2,7,0,0,1,8,24,2,15,0,1,2,16,4,10,1,0,11,5,6,2,0,3,0,1,2,625
6,2,9,1,4,4,0,0,2,1,10,3,5,0,0,1,3,5,16,4,0,4,0,1,0,0,5,0,4,6,562
6,2,10,1,3,4,0,0,2,1,10,3,4,0,0,0,2,5,15,4,0,4,0,1,0,0,4,0,4,6,562
14,1,31,0,1,14,0,0,2,1,66,21,25,1,1,9,14,11,4,1,0,12,3,23,5,1,5,0,0,1,562
14,1,34,2,6,4,0,0,1,6,29,6,20,1,0,11,20,2,15,2,0,9,4,23,3,1,3,0,0,5,562
6,1,10,2,5,3,0,0,1,4,13,0,7,1,0,1,5,2,8,1,0,3,1,5,0,1,4,0,3,3,438
1,0,13,0,1,1,0,0,1,0,13,5,9,0,0,4,4,0,5,0,0,0,0,3,0,0,5,0,2,3,500
5,1,9,0,5,2,0,0,1,5,19,2,7,1,1,2,15,3,4,0,0,9,5,6,1,1,0,0,2,1,438
16,2,27,3,5,4,0,0,2,5,36,8,17,3,3,6,17,7,8,0,0,14,6,11,0,3,14,0,0,4,750
1,3,16,1,3,3,1,0,3,1,31,7,18,1,0,7,5,4,8,3,0,7,2,17,0,1,2,0,0,4,562
17,1,26,2,4,5,0,0,1,3,45,9,20,1,2,7,20,7,6,0,0,14,5,20,2,1,3,0,2,3,375
7,0,18,0,8,4,0,0,0,1,28,3,10,0,0,5,25,1,19,0,0,9,8,22,0,0,13,0,4,4,500
12,3,19,1,9,5,0,0,3,1,44,8,17,1,0,8,12,0,13,0,0,9,4,8,2,1,6,0,1,6,500
12,4,31,3,15,14,1,0,5,7,51,8,28,2,0,15,35,6,26,1,0,21,12,30,7,2,9,0,7,11,438
2,0,16,0,2,0,0,0,0,2,14,0,7,0,2,1,7,7,4,0,0,6,2,6,0,0,3,0,1,2,438
15,5,16,4,4,6,0,0,5,4,34,5,18,2,0,7,22,4,17,5,0,11,5,16,0,2,2,0,2,3,562
0,1,2,0,3,2,0,0,1,0,4,1,3,0,0,3,7,0,4,2,0,2,2,2,3,0,1,0,0,2,438
18,6,25,0,6,8,0,0,6,4,35,7,12,2,1,3,27,6,18,4,0,13,7,17,4,2,1,0,2,11,562
3,0,5,1,0,2,0,0,0,1,8,0,8,1,0,3,9,0,0,0,0,3,0,6,1,1,2,0,0,0,312
3,3,10,0,2,5,0,0,3,0,22,1,12,0,1,7,12,2,5,2,0,6,2,5,0,0,5,0,0,5,312
14,0,22,0,5,1,0,0,0,1,29,5,17,1,0,6,4,4,5,0,0,5,3,8,3,1,1,0,1,2,438
10,0,28,8,6,9,0,0,0,10,45,9,28,4,0,13,23,5,10,0,0,11,6,16,2,4,4,0,3,5,688
