# nChar,nWords,nLongWords,nShortWords,mostFreqWordLen,avgWordLen,nSentences,nLongSentences,nShortSentences,mostFreqSentLen,avgSentLen,nDifferentWords,nStopwords, avaliacao
320.00000,28.00000,2.00000,26.00000,3.00000,9.25000,1.00000,1.00000,0.00000,58.00000,28.00000,23.00000,30.00000,688.00000
1724.00000,124.00000,9.00000,115.00000,3.00000,10.75000,11.00000,7.00000,1.00000,30.00000,11.27273,84.00000,196.00000,812.00000
246.00000,17.00000,0.00000,17.00000,3.00000,10.29412,1.00000,1.00000,0.00000,43.00000,17.00000,17.00000,26.00000,500.00000
356.00000,23.00000,1.00000,22.00000,3.00000,11.56522,3.00000,2.00000,1.00000,40.00000,7.66667,22.00000,43.00000,688.00000
484.00000,42.00000,1.00000,41.00000,5.00000,9.00000,3.00000,2.00000,0.00000,25.00000,14.00000,32.00000,47.00000,688.00000
943.00000,73.00000,8.00000,65.00000,3.00000,10.26027,1.00000,1.00000,0.00000,176.00000,73.00000,60.00000,103.00000,875.00000
560.00000,63.00000,1.00000,62.00000,3.00000,6.87302,6.00000,3.00000,2.00000,7.00000,10.50000,52.00000,50.00000,688.00000
269.00000,33.00000,2.00000,31.00000,2.00000,6.63636,1.00000,1.00000,0.00000,49.00000,33.00000,29.00000,16.00000,188.00000
232.00000,20.00000,0.00000,20.00000,2.00000,9.10000,1.00000,1.00000,0.00000,48.00000,20.00000,12.00000,28.00000,375.00000
1384.00000,105.00000,7.00000,98.00000,3.00000,10.00952,1.00000,1.00000,0.00000,256.00000,105.00000,77.00000,151.00000,562.00000
664.00000,58.00000,1.00000,57.00000,3.00000,8.87931,4.00000,2.00000,1.00000,17.00000,14.50000,47.00000,75.00000,562.00000
491.00000,51.00000,4.00000,47.00000,1.00000,7.47059,5.00000,2.00000,2.00000,2.00000,10.20000,46.00000,42.00000,312.00000
84.00000,9.00000,0.00000,9.00000,6.00000,7.44444,1.00000,0.00000,0.00000,17.00000,9.00000,6.00000,8.00000,62.00000
665.00000,59.00000,4.00000,55.00000,2.00000,8.64407,10.00000,1.00000,4.00000,5.00000,5.90000,47.00000,67.00000,500.00000
1159.00000,89.00000,5.00000,84.00000,5.00000,10.11236,4.00000,3.00000,0.00000,40.00000,22.25000,66.00000,115.00000,875.00000
173.00000,14.00000,0.00000,14.00000,5.00000,9.85714,3.00000,0.00000,1.00000,16.00000,4.66667,14.00000,16.00000,500.00000
464.00000,39.00000,1.00000,38.00000,5.00000,9.48718,3.00000,1.00000,0.00000,11.00000,13.00000,33.00000,47.00000,625.00000
476.00000,47.00000,1.00000,46.00000,5.00000,8.00000,2.00000,2.00000,0.00000,61.00000,23.50000,37.00000,45.00000,625.00000
351.00000,30.00000,2.00000,28.00000,3.00000,9.03333,3.00000,2.00000,1.00000,24.00000,10.00000,27.00000,43.00000,438.00000
353.00000,34.00000,6.00000,28.00000,1.00000,8.14706,1.00000,1.00000,0.00000,72.00000,34.00000,31.00000,38.00000,312.00000
860.00000,72.00000,7.00000,65.00000,2.00000,9.19444,6.00000,3.00000,1.00000,19.00000,12.00000,58.00000,87.00000,562.00000
158.00000,22.00000,1.00000,21.00000,5.00000,5.72727,1.00000,1.00000,0.00000,32.00000,22.00000,20.00000,10.00000,562.00000
1239.00000,105.00000,4.00000,101.00000,3.00000,9.34286,5.00000,3.00000,1.00000,104.00000,21.00000,81.00000,135.00000,438.00000
589.00000,58.00000,1.00000,57.00000,3.00000,8.13793,3.00000,1.00000,2.00000,97.00000,19.33333,49.00000,53.00000,562.00000
389.00000,28.00000,1.00000,27.00000,5.00000,10.60714,1.00000,1.00000,0.00000,73.00000,28.00000,25.00000,45.00000,500.00000
788.00000,121.00000,1.00000,120.00000,1.00000,4.68595,2.00000,1.00000,1.00000,9.00000,60.50000,83.00000,81.00000,375.00000
608.00000,50.00000,9.00000,41.00000,3.00000,9.84000,5.00000,2.00000,0.00000,19.00000,10.00000,43.00000,57.00000,938.00000
500.00000,47.00000,2.00000,45.00000,3.00000,8.12766,3.00000,2.00000,0.00000,25.00000,15.66667,43.00000,52.00000,500.00000
914.00000,73.00000,9.00000,64.00000,2.00000,9.90411,6.00000,5.00000,1.00000,33.00000,12.16667,68.00000,89.00000,688.00000
429.00000,40.00000,2.00000,38.00000,5.00000,8.20000,2.00000,2.00000,0.00000,59.00000,20.00000,35.00000,39.00000,500.00000
1308.00000,118.00000,2.00000,116.00000,5.00000,8.60169,5.00000,2.00000,1.00000,6.00000,23.60000,83.00000,135.00000,625.00000
343.00000,34.00000,6.00000,28.00000,4.00000,7.91176,2.00000,1.00000,0.00000,51.00000,17.00000,22.00000,30.00000,438.00000
195.00000,34.00000,1.00000,33.00000,2.00000,4.35294,1.00000,1.00000,0.00000,47.00000,34.00000,32.00000,13.00000,0.00000
1329.00000,112.00000,9.00000,103.00000,5.00000,9.22321,14.00000,5.00000,7.00000,6.00000,8.00000,85.00000,116.00000,562.00000
434.00000,39.00000,3.00000,36.00000,5.00000,8.74359,5.00000,1.00000,2.00000,35.00000,7.80000,30.00000,40.00000,500.00000
1353.00000,110.00000,3.00000,107.00000,5.00000,9.67273,12.00000,4.00000,4.00000,8.00000,9.16667,66.00000,150.00000,625.00000
1351.00000,110.00000,3.00000,107.00000,5.00000,9.67273,12.00000,4.00000,4.00000,8.00000,9.16667,66.00000,150.00000,562.00000
433.00000,36.00000,2.00000,34.00000,6.00000,9.47222,6.00000,0.00000,1.00000,13.00000,6.00000,29.00000,40.00000,500.00000
335.00000,32.00000,3.00000,29.00000,3.00000,8.09375,1.00000,1.00000,0.00000,71.00000,32.00000,28.00000,39.00000,500.00000
1002.00000,80.00000,12.00000,68.00000,4.00000,9.83750,1.00000,1.00000,0.00000,176.00000,80.00000,46.00000,96.00000,500.00000
590.00000,51.00000,5.00000,46.00000,2.00000,9.23529,2.00000,2.00000,0.00000,50.00000,25.50000,43.00000,61.00000,438.00000
637.00000,60.00000,1.00000,59.00000,3.00000,8.06667,4.00000,2.00000,1.00000,26.00000,15.00000,30.00000,67.00000,312.00000
404.00000,37.00000,1.00000,36.00000,3.00000,8.54054,1.00000,1.00000,0.00000,85.00000,37.00000,34.00000,48.00000,375.00000
887.00000,62.00000,4.00000,58.00000,6.00000,10.72581,10.00000,3.00000,5.00000,8.00000,6.20000,51.00000,86.00000,500.00000
288.00000,29.00000,3.00000,26.00000,5.00000,7.79310,1.00000,1.00000,0.00000,60.00000,29.00000,22.00000,31.00000,375.00000
389.00000,31.00000,3.00000,28.00000,6.00000,9.96774,2.00000,2.00000,0.00000,50.00000,15.50000,27.00000,42.00000,562.00000
609.00000,53.00000,1.00000,52.00000,2.00000,9.11321,1.00000,1.00000,0.00000,120.00000,53.00000,40.00000,67.00000,438.00000
1124.00000,92.00000,5.00000,87.00000,3.00000,9.71739,4.00000,4.00000,0.00000,26.00000,23.00000,74.00000,129.00000,438.00000
