# TypeTokenRatio, GuiraudsIndex, Yule's_K, HapaxLegonema, AdvancedGuiraud, Avaliacao
1.25843,8.40971,55.80357,89.00000,2.55126,400.00000
1.08333,8.80559,19.32134,84.00000,3.35451,500.00000
1.20183,9.52337,34.96300,109.00000,3.40745,400.00000
1.12308,10.75888,20.64177,130.00000,5.37944,650.00000
1.21359,9.21260,35.84000,103.00000,3.21994,350.00000
1.17333,7.99503,46.48760,75.00000,2.66501,400.00000
1.19355,7.20735,54.78451,62.00000,2.67370,200.00000
1.21739,8.69318,43.04847,92.00000,2.45677,0.00000
1.29231,7.09208,62.35828,65.00000,2.50951,100.00000
1.09184,9.47402,22.70941,98.00000,4.06029,600.00000
1.21333,7.86214,57.96401,75.00000,1.99174,300.00000
1.13793,8.74383,28.56851,87.00000,3.61814,550.00000
1.16279,6.08112,56.00000,43.00000,1.41421,350.00000
1.36559,8.25242,126.48025,93.00000,2.39586,350.00000
1.17391,11.71103,26.31505,161.00000,6.03736,650.00000
1.23457,8.10000,60.00000,81.00000,2.20000,500.00000
1.17600,10.30983,27.76621,125.00000,3.46410,0.00000
1.18785,12.34410,19.46998,181.00000,5.04676,650.00000
1.11009,9.90909,25.95451,109.00000,3.54545,500.00000
1.13187,8.96650,24.50749,91.00000,3.05452,700.00000
1.10667,8.23232,29.03179,75.00000,2.85387,400.00000
1.15966,10.12995,33.60639,119.00000,3.06452,750.00000
1.04878,10.82955,7.21111,123.00000,5.98707,300.00000
1.10577,9.69805,19.65974,104.00000,3.73002,550.00000
1.19101,8.64444,48.05981,89.00000,2.52534,350.00000
1.11207,10.21323,19.22961,116.00000,3.69789,750.00000
1.22826,8.65463,56.38656,92.00000,2.72809,400.00000
1.06494,8.50323,14.87210,77.00000,3.64424,500.00000
1.21739,11.50000,26.55144,161.00000,4.92857,500.00000
1.10680,9.64683,23.08403,103.00000,4.02732,450.00000
1.31707,7.89045,68.58711,82.00000,3.17543,300.00000
1.25954,10.19834,39.66942,131.00000,3.81464,800.00000
1.31915,5.96901,145.68158,47.00000,1.77800,200.00000
1.10345,10.25305,15.86914,116.00000,3.97748,350.00000
1.32530,7.91374,77.68595,83.00000,2.86039,650.00000
1.12048,8.60670,25.43647,83.00000,2.69607,350.00000
1.24405,11.62080,45.78650,168.00000,5.04952,450.00000
1.20245,11.64286,29.67514,163.00000,4.64286,800.00000
1.12360,8.90000,24.00000,89.00000,4.50000,300.00000
1.23077,11.25833,28.21181,156.00000,3.75278,350.00000
1.09945,12.83075,9.59572,181.00000,4.74950,550.00000
1.31624,9.42813,41.32231,117.00000,3.22329,650.00000
1.10891,9.54360,22.32143,101.00000,3.96863,850.00000
1.14634,8.45765,29.42508,82.00000,3.19741,350.00000
1.20886,11.43248,22.47745,158.00000,4.70323,700.00000
1.07965,10.23054,14.78097,113.00000,3.44036,500.00000
1.25000,9.12140,93.49112,104.00000,3.24511,100.00000
1.51485,8.16537,154.64138,101.00000,2.91043,150.00000
1.21379,10.92979,29.70041,145.00000,3.91965,350.00000
1.07407,8.68411,15.85414,81.00000,4.28845,250.00000
1.13084,9.72727,21.85643,107.00000,3.45455,550.00000
1.15789,7.01621,59.68779,57.00000,3.69274,350.00000
1.11111,8.53815,32.09877,81.00000,2.74064,200.00000
1.11765,8.72082,24.37673,85.00000,3.89872,300.00000
