# gunningFog,flesch_readindEase,flesch_kincaid,dale_chall,automated_readabilityIndex, simple_gobbledygook, lix, word_variationIndex, nominal_ratio, avaliacao
18.40857,-9.36229,18.34629,9.69032,36.51371,11.18750,46.02143,99.19946,1.78333,400.00000
15.97857,7.66451,15.92357,8.71213,43.59181,10.23824,39.94643,256.46128,1.33784,500.00000
19.93919,33.27262,12.12847,10.32522,32.13768,11.66669,49.84796,131.69980,1.80000,400.00000
21.30502,-19.91361,20.07315,10.72901,34.94511,12.63246,53.26256,216.45545,3.28889,650.00000
18.12000,10.24800,15.78640,9.43562,36.72560,11.46377,45.30000,122.82422,1.86957,350.00000
20.22182,-5.03127,19.06327,9.71298,38.91900,13.58717,50.55455,127.63508,1.54167,400.00000
19.36371,15.54625,14.61653,10.13544,41.40548,11.32648,48.40927,106.83946,1.54167,200.00000
19.67429,-0.43886,19.40686,8.97700,40.70243,13.81554,49.18571,115.52604,2.10345,0.00000
23.16190,6.16000,18.16000,10.50536,42.68762,15.67248,57.90476,78.75422,1.43396,100.00000
21.44139,-28.10275,21.91033,10.44505,42.74254,13.65281,53.60347,250.84945,1.55072,600.00000
15.94769,-5.79367,17.39029,8.94632,32.27873,9.52581,39.86923,107.46645,4.00000,300.00000
20.01585,16.62545,13.84053,10.71301,34.27602,10.20881,50.03963,165.70187,2.15556,550.00000
13.00000,15.72000,14.99600,7.41450,39.78000,9.01965,32.50000,103.41318,1.36111,350.00000
19.88315,31.94161,12.69483,10.10996,36.40532,12.25529,49.70787,77.70849,1.08081,350.00000
24.93133,12.60712,14.91015,12.40084,32.25092,12.89056,62.32832,173.96519,1.93103,650.00000
