# coordinating_conjunction, numeral, determiner, existencial, subordinatingConjunction, adjective, comparativeAdjective, superlativeAdjective, ordinalAdjective_or_numeral, modalAuxiliary, singular_or_massCommun_noun, pluralCommonNoun, preposition, participle, predeterminer, genitiveMarker, personalPronoun, possessivePronoun, adverb, comparativeAdverb, superlativeAdverbs, preposition_or_infinitive, n_verb_baseForm, n_verb_pastTense, n_verb_gerund, n_verb_pastParticiple, n_verb_thirdPersonSingPresent, n_whDeterminer, n_whAdverb, whPronoun, avaliacao
5,1,34,3,13,21,2,0,1,7,58,17,39,6,2,16,16,2,9,0,0,21,14,1,0,6,11,0,3,9,400
7,0,27,5,12,14,0,0,0,11,56,14,39,4,0,20,20,3,12,0,0,20,14,0,3,4,17,0,2,11,500
7,2,40,3,12,14,2,0,2,10,78,34,41,7,2,18,19,0,10,4,0,20,16,1,0,7,15,0,4,14,400
8,1,25,3,1,38,0,0,1,6,81,21,59,8,0,28,8,2,9,1,0,11,3,5,2,8,10,0,2,5,650
8,6,45,4,10,13,3,0,8,8,72,14,48,7,0,26,7,3,20,1,0,14,9,10,6,7,12,0,3,8,350
3,2,27,2,7,12,0,0,2,6,49,35,23,2,0,12,16,2,7,0,0,12,6,0,0,2,6,0,4,11,400
9,3,28,3,4,13,5,0,3,6,44,21,28,2,4,8,8,8,17,3,0,15,9,1,5,2,7,0,3,10,200
17,0,34,4,6,13,0,0,1,8,74,19,42,6,3,13,13,5,15,0,0,19,6,0,7,6,10,0,1,6,0
10,1,39,3,13,13,3,0,1,6,46,10,26,4,5,6,13,5,17,2,0,20,13,1,5,4,13,0,1,8,100
6,1,31,0,6,19,1,0,1,4,64,12,36,7,0,20,18,4,18,3,0,11,8,1,5,7,13,0,3,10,600
5,0,30,1,4,15,1,0,0,3,60,16,32,0,1,16,3,2,6,1,0,8,2,2,4,0,10,0,0,3,300
7,1,30,1,7,21,0,0,1,4,58,25,37,0,2,9,11,2,9,0,0,15,7,2,2,0,9,0,2,4,550
6,0,16,3,10,6,2,0,0,7,32,13,16,1,0,6,8,1,6,1,0,15,12,0,0,1,4,0,0,7,350
15,0,38,2,12,17,1,0,0,10,71,33,34,2,1,12,23,5,26,0,0,19,15,0,4,2,19,0,5,14,350
14,1,54,2,17,33,2,0,1,4,100,33,58,10,2,25,15,3,24,1,0,26,17,0,2,10,20,0,5,9,650
4,3,28,2,8,32,2,0,3,4,62,16,42,3,2,16,6,1,15,2,0,16,7,0,0,3,11,0,0,8,500
16,1,36,6,15,14,1,0,1,10,68,14,39,7,1,13,31,8,20,2,0,11,8,8,7,7,25,0,2,15,0
8,1,66,2,21,26,2,0,1,9,123,59,65,14,2,27,34,3,29,4,0,15,10,6,3,14,27,1,8,21,650
13,1,45,6,16,16,0,0,3,15,61,11,28,8,1,7,12,4,25,2,0,24,20,2,2,8,16,0,1,9,500
4,0,27,3,9,22,2,0,0,7,58,18,37,6,0,21,10,1,13,1,0,11,7,0,1,6,7,0,4,9,700
7,1,19,1,7,9,1,0,1,5,49,16,24,6,1,8,14,2,14,2,0,16,11,0,1,6,7,0,0,6,400
11,0,32,7,11,42,2,0,1,12,68,19,43,7,2,15,14,2,20,4,0,22,11,2,1,7,14,0,0,9,750
12,0,29,4,3,37,1,0,0,8,71,23,50,10,0,24,15,1,12,4,0,11,4,2,1,10,10,0,7,6,300
8,5,33,0,9,15,1,0,5,4,67,16,47,6,3,23,7,2,10,1,0,14,8,0,7,6,9,0,1,7,550
