# nChar,nWords,nLongWords,nShortWords,mostFreqWordLen,avgWordLen,nSentences,nLongSentences,nShortSentences,mostFreqSentLen,avgSentLen,nDifferentWords,nStopwords, avaliacao
1536.00000,112.00000,39.00000,73.00000,2.00000,11.15179,10.00000,6.00000,0.00000,18.00000,11.20000,89.00000,131.00000,400.00000
1424.00000,91.00000,20.00000,71.00000,2.00000,12.45055,8.00000,8.00000,0.00000,26.00000,11.37500,84.00000,142.00000,500.00000
1678.00000,131.00000,20.00000,111.00000,2.00000,10.29008,12.00000,8.00000,1.00000,24.00000,10.91667,109.00000,152.00000,400.00000
1882.00000,146.00000,64.00000,82.00000,2.00000,10.39726,12.00000,6.00000,0.00000,17.00000,12.16667,130.00000,120.00000,650.00000
1739.00000,125.00000,33.00000,92.00000,3.00000,11.02400,10.00000,7.00000,0.00000,32.00000,12.50000,103.00000,168.00000,350.00000
1181.00000,88.00000,24.00000,64.00000,2.00000,11.09091,5.00000,5.00000,0.00000,35.00000,17.60000,75.00000,90.00000,400.00000
1124.00000,74.00000,15.00000,59.00000,5.00000,12.33784,7.00000,5.00000,1.00000,36.00000,10.57143,62.00000,115.00000,200.00000
1516.00000,112.00000,35.00000,77.00000,5.00000,11.05357,5.00000,5.00000,0.00000,33.00000,22.40000,92.00000,140.00000,0.00000
1210.00000,84.00000,20.00000,64.00000,3.00000,11.61905,4.00000,4.00000,0.00000,73.00000,21.00000,65.00000,134.00000,100.00000
1600.00000,107.00000,39.00000,68.00000,2.00000,11.77570,7.00000,5.00000,0.00000,25.00000,15.28571,98.00000,131.00000,600.00000
1158.00000,91.00000,30.00000,61.00000,2.00000,10.49451,10.00000,4.00000,3.00000,9.00000,9.10000,75.00000,89.00000,300.00000
1342.00000,99.00000,21.00000,78.00000,2.00000,10.98990,13.00000,3.00000,5.00000,7.00000,7.61538,87.00000,114.00000,550.00000
737.00000,50.00000,9.00000,41.00000,3.00000,11.68000,4.00000,4.00000,0.00000,24.00000,12.50000,43.00000,75.00000,350.00000
1740.00000,127.00000,11.00000,116.00000,3.00000,11.04724,10.00000,8.00000,0.00000,35.00000,12.70000,93.00000,176.00000,350.00000
2409.00000,189.00000,49.00000,140.00000,2.00000,10.23810,19.00000,9.00000,2.00000,16.00000,9.94737,161.00000,191.00000,650.00000
1446.00000,100.00000,35.00000,65.00000,3.00000,11.90000,8.00000,7.00000,0.00000,29.00000,12.50000,81.00000,125.00000,500.00000
1868.00000,147.00000,32.00000,115.00000,3.00000,10.13605,10.00000,6.00000,2.00000,1.00000,14.70000,125.00000,171.00000,0.00000
2902.00000,215.00000,41.00000,174.00000,2.00000,10.70233,37.00000,7.00000,19.00000,0.00000,5.81081,181.00000,248.00000,650.00000
1612.00000,121.00000,20.00000,101.00000,3.00000,10.72727,11.00000,7.00000,1.00000,15.00000,11.00000,109.00000,160.00000,500.00000
1369.00000,103.00000,24.00000,79.00000,2.00000,10.67961,5.00000,5.00000,0.00000,42.00000,20.60000,91.00000,110.00000,700.00000
1121.00000,83.00000,24.00000,59.00000,3.00000,11.00000,10.00000,5.00000,1.00000,21.00000,8.30000,75.00000,96.00000,400.00000
1829.00000,138.00000,37.00000,101.00000,2.00000,10.87681,11.00000,8.00000,0.00000,27.00000,12.54545,119.00000,146.00000,750.00000
1772.00000,129.00000,49.00000,80.00000,2.00000,10.98450,13.00000,6.00000,2.00000,14.00000,9.92308,123.00000,135.00000,300.00000
1618.00000,115.00000,34.00000,81.00000,2.00000,10.93913,5.00000,5.00000,0.00000,34.00000,23.00000,104.00000,125.00000,550.00000
1410.00000,106.00000,26.00000,80.00000,3.00000,10.86792,10.00000,6.00000,1.00000,27.00000,10.60000,89.00000,128.00000,350.00000
1661.00000,129.00000,31.00000,98.00000,1.00000,10.16279,12.00000,7.00000,2.00000,39.00000,10.75000,116.00000,132.00000,750.00000
1384.00000,113.00000,26.00000,87.00000,2.00000,10.00000,13.00000,5.00000,2.00000,12.00000,8.69231,92.00000,113.00000,400.00000
1115.00000,82.00000,18.00000,64.00000,3.00000,10.96341,9.00000,4.00000,1.00000,32.00000,9.11111,77.00000,103.00000,500.00000
