index,palavra
0,de
1,a
2,o
3,e
4,que
5,do
6,da
7,em
8,para
9,com
10,um
11,no
12,os
13,não
14,uma
15,na
16,é
18,se
19,dos
20,por
22,as
23,ao
24,mais
25,como
26,à
27,foi
28,das
29,sua
30,pelo
31,seu
32,ou
33,ser
34,pela
35,mas
37,ele
38,nos
39,sobre
40,governo
41,entre
42,também
43,são
44,já
45,era
46,até
47,paulo
48,tem
51,está
52,anos
53,dia
54,ano
55,brasil
56,ainda
58,mesmo
60,muito
61,quando
62,presidente
63,disse
64,eu
65,rio
66,sem
68,seus
69,aos
70,nas
72,às
73,só
74,dois
75,depois
77,há
78,contra
79,ter
80,pode
81,me
82,vai
84,ontem
85,isso
86,tempo
88,onde
89,foram
90,país
91,ela
92,folha
93,todos
94,porque
95,hoje
96,bem
98,vez
99,suas
100,diz
101,três
102,fazer
103,segundo
105,apenas
106,quem
107,grande
108,parte
109,primeiro
110,outros
111,mil
112,maior
113,casa
114,lhe
116,tinha
117,vida
118,então
119,estado
120,menos
121,dias
122,pessoas
123,estava
124,tudo
125,sempre
126,duas
127,outro
128,estão
129,assim
130,josé
131,política
133,nem
135,cidade
136,será
138,todo
139,esse
140,novo
141,essa
143,cada
144,deve
145,nacional
146,caso
147,pelos
148,primeira
149,mundo
150,antes
151,trabalho
152,deputado
153,janeiro
154,meu
156,tão
157,pouco
158,minha
159,qual
160,câmara
161,este
162,milhões
163,durante
164,desde
165,mês
167,agora
168,você
169,havia
171,teve
172,ministro
173,forma
174,melhor
175,sendo
176,lado
178,outubro
179,carlos
181,qualquer
182,lá
183,eles
184,nova
185,mercado
186,partir
187,nada
188,partido
189,final
190,vezes
191,outra
192,projeto
193,seja
194,fim
195,quatro
196,coisa
197,joão
198,grupo
199,meio
201,num
202,seguinte
203,gente
204,local
205,fez
206,empresa
207,federal
209,sido
210,nome
211,fernando
212,novembro
213,homem
214,alguns
215,seria
216,empresas
217,toda
218,reportagem
219,esta
220,outras
221,faz
223,aqui
224,exemplo
225,todas
227,têm
228,após
230,noite
231,processo
232,fora
233,quase
234,história
235,ver
236,eua
237,direito
238,público
239,acordo
240,mesma
241,mulher
242,lugar
243,meses
244,programa
245,candidato
246,passado
247,afirmou
248,república
249,congresso
250,semana
251,comissão
253,numa
254,março
255,relação
256,cinco
257,dar
258,sistema
259,dizer
260,poder
261,cerca
262,campanha
263,quer
264,início
265,momento
266,brasília
267,movimento
268,número
269,pelas
270,olhos
271,além
272,justiça
273,mandato
275,diretor
276,dinheiro
277,filho
278,pois
279,passou
280,brasileira
282,fato
283,fevereiro
284,dezembro
285,brasileiro
286,henrique
287,banco
289,frente
290,porém
291,dentro
292,sob
293,livro
294,lei
295,conta
296,podem
297,período
298,jogo
299,ficou
300,desse
301,bom
302,abril
303,tanto
304,maio
305,área
306,maria
307,cargo
308,silva
309,próprio
310,julho
311,nunca
312,logo
313,eram
314,preços
315,grandes
316,eleições
317,capital
318,horas
319,fhc
321,nós
322,estados
323,apoio
324,pai
325,deste
326,produção
327,ministério
328,ponto
329,verdade
330,volta
332,recursos
333,último
334,tarde
335,setor
336,países
337,fosse
338,através
339,morte
340,sul
341,equipe
342,quanto
343,possível
344,problema
345,região
346,vem
347,antônio
348,agosto
349,enquanto
350,feito
351,sp
354,junho
355,aí
357,setembro
358,família
359,vão
360,hora
361,idéia
362,pt
363,eleito
364,maioria
365,valor
366,pontos
367,filme
368,situação
369,alguma
370,deu
371,governador
